name,type,format,description,example,enum,minLength,maxLength,minimum,maximum,pattern,deprecated
netWeight,number,float,"Total weight of the goods carried, excluding packaging.",2.4,,,,,,,False
netWeightUnit,string,,Unit of measure used to describe the `netWeight`. Possible values are - KGM (Kilograms) - LBR (Pounds),KGM,KGM|LBR,,,,,,False
nmftaCode,string,,The Standard Carrier Alpha Code (SCAC) provided by NMFTA.,MMCU,,,4,,,^\S+(\s+\S+)*$,False
numberOfCopies,integer,int32,The requested number of copies of the Transport document to be issued by the carrier. Only applicable for physical documents,2,,,,0,,,False
numberOfCopiesWithCharges,integer,int32,The requested number of copies of the Transport document to be issued by the carrier including charges. Only applicable for physical (paper) documents,2,,,,0,,,False
numberOfCopiesWithoutCharges,integer,int32,The requested number of copies of the Transport document to be issued by the carrier **NOT** including charges. Only applicable for physical (paper) documents,2,,,,0,,,False
numberOfOriginalsWithCharges,integer,int32,Number of originals of the bill of lading that has been requested by the customer with charges. Only applicable for physical documents.,1,,,,0,,,False
numberOfOriginalsWithoutCharges,integer,int32,Number of originals of the bill of lading that has been requested by the customer without charges. Only applicable for physical documents.,1,,,,0,,,False
numberOfPackages,integer,int32,Specifies the number of packages associated with this cargo item,18,,,,1,99999,,False
numberOfRiderPages,integer,int32,The number of additional pages required to contain the goods description on a transport document. Only applicable for physical transport documents.,2,,,,0,,,False
o2Setpoint,number,float,The percentage of the controlled atmosphere O<sub>2</sub> target value,75.3,,,,0,100,,False
originChargesPaymentTermCode,string,,"An indicator of whether origin charges are prepaid (PRE) or collect (COL). When prepaid, the charges are the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charges are the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided). Examples of origin charges are customs clearance fees, documentation fees, container packing and loading charges levied at the port of origin to cover the costs of prepari",PRE,PRE|COL,,,,,,False
packageCode,string,,A code identifying the outer packaging/overpack. `PackageCode` must follow the codes specified in [Recommendation N°21 - Revision 12 Annexes V and VI](https://unece.org/sites/default/files/2021-06/rec21_Rev12e_Annex-V-VI_2021.xls) **Condition:** only applicable to dangerous goods if the `IMO packaging code` is not available.,5H,,,,,,^[A-Z0-9]{2}$,False
packageNameOnBL,string,,To provide package description displayed on the BL,Bags,,,50,,,^\S+(\s+\S+)*$,False
packingGroup,integer,int32,The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code.,3,,,,1,3,,False
partialLoadAllowed,boolean,,Indication whether the shipper agrees to load part of the shipment in case where not all of the cargo is delivered within cut-off.,True,,,,,,,False
partyFunction,string,,Specifies the role of the party in a given context. Possible values are: - `OS` (Original shipper) - `CN` (Consignee) - `COW` (Invoice payer on behalf of the consignor (shipper)) - `COX` (Invoice payer on behalf of the consignee) - `MS` (Document/message issuer/sender) - `N1` (First Notify Party) - `N2` (Second Notify Party) - `NI` (Other Notify Party) - `DDR` (Consignor's freight forwarder) - `DDS` (Consignee's freight forwarder) - `HE` (Carrier booking office (transportation office)) - `SCO` (,DDS,,,3,,,,False
partyName,string,,Name of the party.,Asseco Denmark,,,100,,,^\S+(\s+\S+)*$,False
paymentTermCode,string,,"An indicator of whether a charge is prepaid (PRE) or collect (COL). When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charge is the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided). - PRE (Prepaid) - COL (Collect)",PRE,PRE|COL,,,,,,False
placeOfReceiptPickupDate,string,date,The date when the shipment must be picked up by the carrier at place of receipt. Only applicable when carrier haulage is requested.,2021-05-17,,,,,,,False
plannedArrivalDate,string,date,The planned date of arrival.,,,,,,,,False
plannedDepartureDate,string,date,The planned date of departure.,,,,,,,,False
portVisitReference,string,,The unique reference that can be used to link different `transportCallReferences` to the same port visit. The reference is provided by the port to uniquely identify a port call,NLRTM1234589,,,50,,,^\S+(\s+\S+)*$,False
postCode,string,,The post code of the party’s address.,1047 HM,,,50,,,,False
properShippingName,string,,"The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention.","Chromium Trioxide, anhydrous",,,250,,,,False
publicKey,string,,The public key used for a digital signature.,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkFzaW,,,500,,,,False
quantity,number,float,The amount of unit for this charge item.,34.4,,,,0,,,False
receiptTypeAtOrigin,string,,Indicates the type of service offered at Origin. Options are defined in the Receipt/Delivery entity. - CY (Container yard (incl. rail ramp)) - SD (Store Door) - CFS (Container Freight Station),CY,CY|SD|CFS,,3,,,,False
receivedForShipmentDate,string,date,"Date when the last container linked to the transport document is physically in the terminal (customers cleared against the intended vessel). When provided on a transport document, the transportDocument is a `Received For Shipment` B/L. Exactly one of `shippedOnBoard` and `receiveForShipmentDate` must be provided on an issued B/L.",2020-12-12,,,,,,,False
reeferExtraMaterial,string,,"spacers, filler, board or dunnage material used to stabilize cargo and ensure optimal airflow inside the Reefer container.",spacers,,,500,,,,False
reeferProductName,string,,Carrier specific commercial name indicating the technology service offered.,FROZEN,,,500,,,,False
referenceValue,string,,The actual value of the reference.,HHL00103004,,,100,,,,False
requestedEquipmentUnits,integer,int32,Number of requested equipment units.,3,,,,1,,,False
requestedNumberOfOriginals,integer,int32,Number of original copies of the negotiable bill of lading that has been requested by the customer.,4,,,,1,,,False
returnDescription,string,,Additional instruction on the return process of the container,Please place container...,,,500,,,^\S+(\s+\S+)*$,False
sadt,number,float,Lowest temperature in which self-accelerating decomposition may occur in a substance,54.1,,,,,,,False
sapt,number,float,Lowest temperature in which self-accelerating polymerization may occur in a substance,70.0,,,,,,,False
sealNumber,string,,Identifies a seal affixed to the container.,,,,15,,,,False
sealSource,string,,"The source of the seal, namely who has affixed the seal. This attribute links to the Seal Source ID defined in the Seal Source reference data entity. Possible values are: - CAR (Carrier) - SHI (Shipper) - PHY (Phytosanitary) - VET (Veterinary) - CUS (Customs) **Condition:** Conditional on type of commodity",CUS,,,5,,,,False
sealType,string,,The type of seal. This attribute links to the Seal Type ID defined in the Seal Type reference data entity. Possible values are: - KLP (Keyless padlock) - BLT (Bolt) - WIR (Wire),WIR,,,5,,,,False
sendToPlatform,string,,Indicates the shipper’s platform on which the eBL should be issued. The value **MUST** be one of: - `WAVE` (Wave) - `CARX` (CargoX) - `ESSD` (EssDocs) - `BOLE` (Bolero) - `EDOX` (EdoxOnline) - `IQAX` (IQAX) - `SECR` (Secro) - `TRGO` (TradeGo) **Condition:** Mandatory for electronic Bill of Lading (`isElectronic=TRUE`).,WAVE,,,4,,,,False
serviceContractReference,string,,"Reference number for agreement between shipper and carrier through which the shipper commits to provide a certain minimum quantity of cargo over a fixed period, and the carrier commits to a certain rate or rate schedule.",HHL51800000,,,30,,,,False
shipmentCreatedDateTime,string,date-time,The date and time when the shipment was created (equivalent to when the Booking was confirmed).,2021-09-03T09:03:00-02:00,,,,,,,False
shipmentLocationTypeCode,string,,Links to the Location Type Code defined by DCSA. Possible values are: - PRE (Place of Receipt) - POL (Port of Loading) - POD (Port of Discharge) - PDE (Place of Delivery) - PCF (Pre-carriage From) - OIR (Onward In-land Routing) - DRL (Depot release location) - ORI (Origin of goods) - IEL (Container intermediate export stop off location) - PTP (Prohibited transshipment port) - RTP (Requested transshipment port) - FCD (Full container drop-off location),PRE,,,3,,,,False
shipmentUpdatedDateTime,string,date-time,Last date and time when the Shipment was updated.,2021-09-03T09:03:00-02:00,,,,,,,False
shippedOnBoardDate,string,date,"Date when the last container that is linked to the transport document is physically loaded onboard the vessel indicated on the transport document. When provided on a transport document, the transportDocument is a `Shipped On Board` B/L. Exactly one of `shippedOnBoard` and `receiveForShipmentDate` must be provided on an issued B/L.",2020-12-12,,,,,,,False
shippingInstructionsCreatedDateTime,string,date-time,Date and time when the `Shipping Instructions` was created,2019-11-12T07:41:00-08:30,,,,,,,False
shippingInstructionsReference,string,,The identifier for a `Shipping Istructions` provided by the carrier for system purposes.,e0559d83-00e2-438e-afd9-fdd610c1a008,,,100,,,^\S+(\s+\S+)*$,False
shippingInstructionsUpdatedDateTime,string,date-time,Date and time when the `Shipping Instructions` was updated,2019-11-12T07:41:00-08:30,,,,,,,False
shippingMark,string,,The identifying details of a package or the actual markings that appear on the package(s). This information is provided by the shipper.,Made in China,,,500,,,,False
shippingMarks,string,,The identifying details of a package or the actual markings that appear on the package(s). This information is provided by the shipper.,Made in China,,,500,,,,False
specialCertificateNumber,string,,Text field to indicate certificate number & segment for specific stowage requirements overulling IMDG code,22663:3,,,255,,,,False
startDate,string,date,The start date of the period for which schedule information is sent. The value is populated in [ISO 8601](https://en.wikipedia.org/wiki/ISO_8601) Date format.,2020-04-06,,,,,,,False
stateRegion,string,,The state/region of the party’s address.,North Holland,,,65,,,,False
storageAmount,number,float,"A per-day fee paid for the occupancy of space in, or near, the port (e.g., container yard, terminal), and thus covers the cost incurred by the owner of the space. Reference to facility (or carrier) website.",150.0,,,,0,,,False
streetName,string,,The name of the street of the party’s address.,Ruijggoordweg,,,100,,,,False
streetNumber,string,,The number of the street of the party’s address.,100,,,50,,,,False
submissionDateTime,string,date-time,Date and time of submitting the relevant document and attributes,2019-11-12T07:41:00-08:30,,,,,,,False
subsidiaryRisk,string,,Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.,1.2,,,,,,^[0-9](\.[0-9])?$,False
tareWeight,number,float,The weight of an empty container (gross container weight).,4800.0,,,,0,,,False
taxReference1,string,,The identifying number of the consignee or shipper (Individual or entity) used for tax purposes.,CVR-25645774,,,20,,,,False
taxReference2,string,,Optional second identifying number of the consignee or shipper (Individual or entity) used for tax purposes.,CVR-25645774,,,20,,,,False
technicalName,string,,The recognized chemical or biological name or other name currently used for the referenced dangerous goods as described in chapter 3.1.2.8 of the IMDG Code.,,,,250,,,,False
temperatureSetpoint,number,float,Target value of the temperature for the Reefer based on the cargo requirement.,-15,,,,,,,False
temperatureUnit,string,,The unit for temperature in Celsius or Fahrenheit - CEL (Celsius) - FAH (Fahrenheit),CEL,CEL|FAH,,,,,,False
termsAndConditions,string,,Carrier terms and conditions of transport.,,,,50000,,,,False
transportCallReference,string,,A carrier definied reference to a `TransportCall`. In the case the Means of Transport is a `Vessel` and the facility is a `Port`/`Terminal` - this reference should be considered a **Terminal Call Reference**,987e4567,,,100,,,^\S+(\s+\S+)*$,False
transportCallSequenceNumber,integer,int32,Transport operator&apos;s key that uniquely identifies each individual call. This key is essential to distinguish between two separate calls at the same location within one voyage.,2,,,,,,,False
transportControlTemperature,number,float,Maximum temperature at which certain substance (such as organic peroxides and self-reactive and related substances) can be safely transported for a prolonged period.,24.1,,,,,,,False
transportDocumentCreatedDateTime,string,date-time,Date and time when the TransportDocument was created,2019-11-12T07:41:00-08:30,,,,,,,False
transportDocumentReference,string,,A unique number allocated by the shipping line to the transport document and the main number used for the tracking of the status of the shipment.,HHL71800000,,,20,,,^\S+(\s+\S+)*$,False
transportDocumentTypeCode,string,,Specifies the type of the transport document - BOL (Bill of Lading) - SWB (Sea Waybill),SWB,BOL|SWB,,,,,,False
transportDocumentUpdatedDateTime,string,date-time,Date and time when the TransportDocument was updated,2019-11-12T07:41:00-08:30,,,,,,,False
transportEmergencyTemperature,number,float,Temperature at which emergency procedures shall be implemented,74.1,,,,,,,False
transportPlanStage,string,,"Code qualifying a specific stage of transport e.g. pre-carriage, main carriage transport or on-carriage transport - PRC (Pre-Carriage) - MNC (Main Carriage Transport) - ONC (On-Carriage Transport)",PRC,PRC|MNC|ONC,,,,,,False
transportPlanStageSequenceNumber,integer,int32,Sequence number of the transport plan stage,5,,,,,,,False
unNumber,string,,United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the Transport of Dangerous Goods and shown in the IMO IMDG.,1463,,,,,,^\d{4}$,False
unitPrice,number,float,The unit price of this charge item in the currency of the charge.,3456.6,,,,0,,,False
universalExportVoyageReference,string,,"A global unique voyage reference for the export Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]` - `2 digits` for the year - `2 alphanumeric characters` for the sequence number of the voyage - `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",2103N,,,,,,^\d{2}[0-9A-Z]{2}[NEWSR]$,False
universalImportVoyageReference,string,,"A global unique voyage reference for the import Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]` - `2 digits` for the year - `2 alphanumeric characters` for the sequence number of the voyage - `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",2103N,,,,,,^\d{2}[0-9A-Z]{2}[NEWSR]$,False
universalServiceReference,string,,"A global unique service reference, as per DCSA standard, agreed by VSA partners for the service. The service reference must match the regular expression pattern: `SR\d{5}[A-Z]`. The letters `SR` followed by `5 digits`, followed by a checksum-character as a capital letter from `A to Z`.",SR12345A,,,8,,,^SR\d{5}[A-Z]$,False
universalVoyageReference,string,,"A global unique voyage reference, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]` - `2 digits` for the year - `2 alphanumeric characters` for the sequence number of the voyage - `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",2201N,,,,,,^\d{2}[0-9A-Z]{2}[NEWSR]$,False
url,string,,URL for the contact,https://www.dcsa.org,,,100,,,^\S+(\s+\S+)*$,False
vesselCallSign,string,,"A unique alphanumeric identity that belongs to the vessel and is assigned by the International Telecommunication Union (ITU). It consists of a threeletter alphanumeric prefix that indicates nationality, followed by one to four characters to identify the individual vessel. For instance, vessels registered under Denmark are assigned the prefix ranges 5PA-5QZ, OUAOZZ, and XPA-XPZ. The Call Sign changes whenever a vessel changes its flag.",NCVV,,,10,,,^\S+(\s+\S+)*$,False
vesselCallSignNumber,string,,"A unique alphanumeric identity that belongs to the vessel and is assigned by the International Telecommunication Union (ITU). It consists of a threeletter alphanumeric prefix that indicates nationality, followed by one to four characters to identify the individual vessel. For instance, vessels registered under Denmark are assigned the prefix ranges 5PA-5QZ, OUAOZZ, and XPA-XPZ. The Call Sign changes whenever a vessel changes its flag.",NCVV,,,10,,,^\S+(\s+\S+)*$,False
vesselDraft,number,float,"The actual draft of the vessel. If the draft is specified in feet (`FOT`) then the decimal part should be concidered as a fraction of a foot and **not** as a number of inches. E.g. 120.5 feet means 120 and a half foot (which would be 120'6"")",12.5,,,,0,,,False
vesselFlag,string,,The flag of the nation whose laws the vessel is registered under. This is the [ISO 3166](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en) two-letter country code,DE,,,2,,,^\S+$,False
vesselIMONumber,string,,"The unique reference for a registered Vessel. The reference is the International Maritime Organisation (IMO) number, also sometimes known as the Lloyd&apos;s register code, which does not change during the lifetime of the vessel",9321483,,,7,,,^\d{7}$,False
vesselLOA,number,float,"The maximum length of a ship's hull measured parallel to the waterline (Length OverAll). If the length is specified in feet (`FOT`) then the decimal part should be concidered as a fraction of a foot and **not** as a number of inches. E.g. 120.5 feet means 120 and a half foot (which would be 120'6"")",245.45,,,,0,,,False
vesselName,string,,The name of the Vessel given by the Vessel Operator and registered with IMO.,King of the Seas,,,35,,,^\S+(\s+\S+)*$,False
vesselOperatorCarrierCode,string,,The carrier who is in charge of the vessel operation based on either the SMDG or SCAC code lists,MAEU,,,10,,,^\S+(\s+\S+)*$,False
vesselOperatorCarrierCodeListProvider,string,,Identifies the code list provider used for the operator and partner carriercodes.,NMFTA,SMDG|NMFTA,,,,,,False
vesselOperatorSMDGLinerCode,string,,The carrier who is in charge of the vessel operation based on the SMDG code,HLC,,,10,,,^\S+(\s+\S+)*$,False
vesselPartnerCarrierCode,string,,"The identifier of the vessel partner for which the current message is intended. This field allows specifying multiple, `,` (comma) separated values if there is more than one vessel partner involved.","MSCU,HLCU",,10,10,,,,False
vesselPartnerCarrierCodeListProvider,string,,"Identifies the code list provider used for the vessel operator and partner carrier codes. If `vesselPartnerCarrierCode` is populated, the code list provider field is to be populated as well.",NMFTA,SMDG|NMFTA,,,,,,False
vesselType,string,,Categorization of ocean-going vessels distinguished by the main cargo the vessel carries. Possible values: - GCGO (General cargo) - CONT (Container) - RORO (RoRo) - CARC (Car carrier) - PASS (Passenger) - FERY (Ferry) - BULK (Bulk) - TANK (Tanker) - LGTK (Liquefied gas tanker) - ASSI (Assistance) - PILO (Pilot boat),CONT,GCGO|CONT|RORO|CARC|PASS|FERY|BULK|TANK|LGTK|ASSI|PILO,,,,,,False
vesselWidth,number,float,"Overall width of the ship measured at the widest point of the nominal waterline. If the width is specified in feet (`FOT`) then the decimal part should be concidered as a fraction of a foot and **not** as a number of inches. E.g. 120.5 feet means 120 and a half foot (which would be 120'6"")",37.33,,,,0,,,False
volume,number,float,"Calculated by multiplying the width, height, and length of the packed cargo.",12.0,,,,0,,,False
volumeUnit,string,,The unit of measure which can be expressed in either imperial or metric terms - FTQ (Cubic foot) - MTQ (Cubic meter),MTQ,MTQ|FTQ,,,,,,False
volumeUnitDG,string,,The unit of measure which can be expressed in either imperial or metric terms - FTQ (Cubic foot) - MTQ (Cubic meter) - LTR (Litre),MTQ,MTQ|FTQ|LTR,,,,,,False
weight,number,float,The total weight of the cargo including packaging items being carried in the container(s). Excludes the tare weight of the container(s).,13000.3,,,,0,,,False
weightUnit,string,,The unit of measure which can be expressed in imperial or metric terms - KGM (Kilograms) - LBR (Pounds),KGM,KGM|LBR,,,,,,False
